ÀÏÀÚ,±¸ºÐ,°è,05½Ã,06½Ã,07½Ã,08½Ã,09½Ã,10½Ã,11½Ã,12½Ã,13½Ã,14½Ã,15½Ã,16½Ã,17½Ã,18½Ã,19½Ã,20½Ã,21½Ã,22½Ã,23½Ã,24½Ã,01½Ã,02½Ã,03½Ã,04½Ã
2021-01-10,½ÂÂ÷,63271 ,1004 ,1466 ,1988 ,2916 ,3358 ,3268 ,3434 ,4559 ,4749 ,4832 ,5252 ,5072 ,4796 ,4153 ,3330 ,3948 ,3238 ,1316 ,434 ,143 ,6 ,3 ,0 ,6 
2021-01-10,ÇÏÂ÷,62459 ,319 ,1263 ,1435 ,2192 ,3148 ,3043 ,3015 ,3899 ,4396 ,4786 ,4995 ,4992 ,4930 ,4612 ,3747 ,3526 ,4238 ,2431 ,1046 ,419 ,18 ,6 ,0 ,3 
2021-01-11,½ÂÂ÷,150339 ,3003 ,7742 ,19309 ,17477 ,7478 ,5449 ,5506 ,5875 ,6029 ,6364 ,6948 ,7857 ,12776 ,16953 ,7254 ,6600 ,5108 ,1742 ,643 ,199 ,7 ,3 ,0 ,17 
2021-01-11,ÇÏÂ÷,148119 ,814 ,4265 ,11091 ,19396 ,8149 ,5045 ,4926 ,5269 ,5847 ,6025 ,6655 ,7134 ,9860 ,18571 ,14022 ,8092 ,7098 ,3687 ,1581 ,569 ,18 ,3 ,0 ,2 
2021-01-12,½ÂÂ÷,163270 ,2947 ,7582 ,19132 ,18033 ,7706 ,5361 ,5491 ,6067 ,6563 ,6836 ,8344 ,10113 ,15270 ,19278 ,8332 ,7601 ,5876 ,1872 ,644 ,190 ,10 ,0 ,0 ,22 
2021-01-12,ÇÏÂ÷,161317 ,788 ,4316 ,10993 ,19618 ,8395 ,4990 ,5106 ,5439 ,6308 ,6284 ,7083 ,8798 ,12302 ,21048 ,16016 ,9110 ,8104 ,4282 ,1641 ,666 ,12 ,2 ,0 ,16 
2021-01-13,½ÂÂ÷,162123 ,3293 ,8456 ,20968 ,19392 ,8316 ,5757 ,5913 ,6287 ,6617 ,6639 ,7589 ,8845 ,14563 ,17533 ,7092 ,6590 ,5393 ,1937 ,710 ,212 ,7 ,2 ,0 ,12 
2021-01-13,ÇÏÂ÷,160326 ,853 ,4806 ,12555 ,21837 ,9126 ,5516 ,5337 ,5597 ,6273 ,6464 ,7019 ,8081 ,11259 ,19765 ,13906 ,7978 ,7553 ,4034 ,1713 ,636 ,13 ,1 ,0 ,4 
2021-01-14,½ÂÂ÷,156543 ,3081 ,7796 ,19166 ,17982 ,7846 ,5652 ,5889 ,6322 ,6561 ,6784 ,7239 ,8534 ,13526 ,16658 ,7309 ,7300 ,5796 ,2084 ,764 ,226 ,10 ,1 ,0 ,17 
2021-01-14,ÇÏÂ÷,154443 ,849 ,4495 ,11351 ,19418 ,8547 ,5226 ,5332 ,5652 ,6238 ,6639 ,6830 ,7822 ,10512 ,18837 ,13609 ,8381 ,7811 ,4400 ,1749 ,725 ,16 ,0 ,0 ,4 
2021-01-15,½ÂÂ÷,158033 ,3011 ,7513 ,18524 ,17565 ,7969 ,5826 ,5905 ,6480 ,6323 ,6747 ,7701 ,9025 ,14318 ,17460 ,7465 ,7157 ,5790 ,2134 ,837 ,253 ,10 ,3 ,0 ,17 
2021-01-15,ÇÏÂ÷,156908 ,797 ,4367 ,10879 ,19150 ,8503 ,5348 ,5405 ,5732 ,6226 ,6556 ,7102 ,8147 ,11371 ,19445 ,14176 ,8453 ,8044 ,4452 ,1890 ,833 ,24 ,3 ,0 ,5 
2021-01-16,½ÂÂ÷,104058 ,1972 ,2916 ,4752 ,6055 ,5736 ,5822 ,6643 ,7679 ,7775 ,7769 ,7755 ,8228 ,8042 ,6197 ,4520 ,4974 ,4691 ,1675 ,643 ,189 ,2 ,0 ,0 ,23 
2021-01-16,ÇÏÂ÷,103082 ,534 ,2594 ,3680 ,5195 ,5414 ,5245 ,5823 ,6881 ,7326 ,7673 ,7395 ,8065 ,8335 ,7484 ,5365 ,4671 ,5956 ,3354 ,1430 ,637 ,6 ,0 ,0 ,19 
2021-01-17,½ÂÂ÷,72716 ,1066 ,1559 ,2126 ,3170 ,3785 ,3731 ,4015 ,4923 ,5307 ,5626 ,5886 ,5797 ,5706 ,4738 ,3873 ,4929 ,4231 ,1561 ,503 ,167 ,8 ,2 ,0 ,7 
2021-01-17,ÇÏÂ÷,71720 ,330 ,1317 ,1542 ,2486 ,3508 ,3552 ,3566 ,4342 ,4873 ,5492 ,5497 ,5867 ,5549 ,5325 ,4195 ,4227 ,5301 ,3037 ,1210 ,473 ,20 ,4 ,0 ,7 
2021-01-18,½ÂÂ÷,166992 ,3477 ,9125 ,21920 ,19291 ,8544 ,5952 ,6074 ,6452 ,6577 ,6671 ,7509 ,8583 ,14448 ,18474 ,7864 ,7278 ,6046 ,1840 ,621 ,230 ,9 ,1 ,0 ,6 
2021-01-18,ÇÏÂ÷,164974 ,949 ,4918 ,13223 ,21795 ,9583 ,5431 ,5539 ,5825 ,6404 ,6607 ,6981 ,7788 ,11158 ,20388 ,14958 ,8783 ,8189 ,4276 ,1559 ,604 ,12 ,1 ,0 ,3 
2021-01-19,½ÂÂ÷,154235 ,3042 ,7640 ,19676 ,18136 ,7702 ,5286 ,5469 ,5916 ,6124 ,6198 ,6952 ,8155 ,13291 ,16935 ,7218 ,7306 ,6213 ,1983 ,727 ,226 ,20 ,5 ,0 ,15 
2021-01-19,ÇÏÂ÷,152362 ,774 ,4328 ,11262 ,19795 ,8465 ,4894 ,4890 ,5269 ,6000 ,6084 ,6516 ,7482 ,10237 ,18841 ,14036 ,8177 ,8553 ,4348 ,1714 ,653 ,25 ,4 ,0 ,15 
2021-01-20,½ÂÂ÷,163377 ,3063 ,7703 ,19678 ,18360 ,8240 ,5960 ,6290 ,6805 ,7184 ,6992 ,7897 ,8789 ,14789 ,17658 ,7410 ,7301 ,6196 ,2084 ,721 ,228 ,12 ,2 ,0 ,15 
2021-01-20,ÇÏÂ÷,161511 ,832 ,4431 ,11248 ,19904 ,8718 ,5550 ,5745 ,6227 ,6905 ,6745 ,7291 ,8152 ,11480 ,20021 ,14155 ,8496 ,8490 ,4592 ,1802 ,688 ,23 ,6 ,0 ,10 
2021-01-21,½ÂÂ÷,156252 ,3044 ,7762 ,19492 ,18372 ,8113 ,5925 ,5979 ,6444 ,6799 ,6398 ,7240 ,7976 ,12745 ,16515 ,7189 ,7169 ,6225 ,1869 ,719 ,255 ,11 ,0 ,0 ,11 
2021-01-21,ÇÏÂ÷,154921 ,796 ,4474 ,11217 ,19889 ,8854 ,5406 ,5535 ,5686 ,6626 ,6383 ,6792 ,7457 ,10103 ,18177 ,13786 ,8304 ,8345 ,4625 ,1745 ,699 ,14 ,2 ,0 ,6 
2021-01-22,½ÂÂ÷,165000 ,2984 ,7596 ,18970 ,18167 ,8099 ,5937 ,6278 ,6689 ,7055 ,7238 ,8375 ,9684 ,14599 ,17889 ,7634 ,7449 ,6741 ,2342 ,958 ,288 ,16 ,1 ,0 ,11 
2021-01-22,ÇÏÂ÷,163227 ,823 ,4382 ,11072 ,19332 ,8696 ,5478 ,5726 ,6139 ,6831 ,6902 ,7812 ,8755 ,11674 ,20029 ,14106 ,8520 ,8956 ,5009 ,2109 ,832 ,34 ,3 ,0 ,7 
2021-01-23,½ÂÂ÷,113152 ,2059 ,2951 ,4938 ,6359 ,6392 ,6535 ,7331 ,8236 ,8317 ,8059 ,8446 ,9125 ,8695 ,6724 ,4679 ,5582 ,5663 ,1993 ,825 ,229 ,1 ,0 ,0 ,13 
2021-01-23,ÇÏÂ÷,112125 ,591 ,2658 ,3702 ,5551 ,5834 ,5792 ,6326 ,7570 ,7763 ,8078 ,8037 ,8757 ,8808 ,8118 ,5817 ,5049 ,7059 ,4003 ,1854 ,749 ,6 ,0 ,0 ,3 
2021-01-24,½ÂÂ÷,80101 ,1069 ,1568 ,2254 ,3596 ,4332 ,4392 ,4883 ,5890 ,6259 ,6217 ,6469 ,6670 ,5894 ,5184 ,4086 ,4700 ,4271 ,1575 ,612 ,164 ,8 ,2 ,0 ,6 
2021-01-24,ÇÏÂ÷,79821 ,333 ,1376 ,1614 ,2629 ,4015 ,4144 ,4164 ,5202 ,5873 ,6374 ,6193 ,6627 ,6271 ,5708 ,4658 ,4280 ,5401 ,3059 ,1330 ,540 ,24 ,1 ,0 ,5 
2021-01-25,½ÂÂ÷,165112 ,3277 ,7973 ,19723 ,18293 ,8494 ,6363 ,6484 ,6965 ,7539 ,7385 ,8122 ,8942 ,13812 ,17280 ,7679 ,7534 ,6225 ,2019 ,719 ,247 ,25 ,1 ,0 ,11 
2021-01-25,ÇÏÂ÷,163274 ,852 ,4582 ,11407 ,19755 ,9030 ,5818 ,5883 ,6510 ,7181 ,7170 ,7633 ,8268 ,11170 ,18995 ,14667 ,8954 ,8608 ,4322 ,1719 ,726 ,22 ,1 ,0 ,1 
2021-01-26,½ÂÂ÷,161586 ,3235 ,7888 ,19816 ,18807 ,8505 ,6064 ,6156 ,6501 ,6680 ,6825 ,7856 ,8482 ,13282 ,16996 ,7321 ,7610 ,6479 ,2079 ,754 ,222 ,7 ,3 ,0 ,18 
2021-01-26,ÇÏÂ÷,159543 ,887 ,4533 ,11491 ,20086 ,8989 ,5429 ,5635 ,5936 ,6357 ,6667 ,7206 ,7963 ,10667 ,19164 ,14011 ,8646 ,8689 ,4691 ,1767 ,694 ,26 ,2 ,0 ,7 
2021-01-27,½ÂÂ÷,169844 ,3226 ,7842 ,20127 ,18851 ,8502 ,6378 ,6720 ,7432 ,7490 ,7459 ,8297 ,9290 ,15225 ,18135 ,7555 ,7413 ,6753 ,2122 ,783 ,221 ,6 ,3 ,0 ,14 
2021-01-27,ÇÏÂ÷,167608 ,933 ,4542 ,11472 ,20322 ,9022 ,5821 ,6125 ,6586 ,7280 ,7310 ,7741 ,8715 ,11768 ,20321 ,14273 ,8760 ,8986 ,4996 ,1918 ,696 ,13 ,4 ,0 ,4 
2021-01-28,½ÂÂ÷,164944 ,3154 ,7898 ,20526 ,18934 ,8848 ,6938 ,6565 ,6694 ,6691 ,6555 ,7361 ,8649 ,14108 ,17654 ,7312 ,7614 ,6672 ,1901 ,616 ,231 ,7 ,5 ,0 ,11 
2021-01-28,ÇÏÂ÷,162902 ,875 ,4619 ,11977 ,20697 ,9239 ,6274 ,6211 ,5945 ,6574 ,6453 ,6770 ,7698 ,11196 ,19687 ,14165 ,8379 ,9091 ,4672 ,1731 ,622 ,20 ,2 ,0 ,5 
2021-01-29,½ÂÂ÷,160611 ,2917 ,7485 ,19053 ,17863 ,7934 ,5497 ,5877 ,6180 ,6634 ,6891 ,7955 ,9229 ,13994 ,17782 ,7761 ,7416 ,6783 ,2163 ,899 ,282 ,9 ,0 ,0 ,7 
2021-01-29,ÇÏÂ÷,158843 ,742 ,4242 ,10911 ,19266 ,8757 ,5098 ,5184 ,5545 ,6475 ,6686 ,7110 ,8367 ,11283 ,19257 ,14373 ,8397 ,9111 ,5066 ,2090 ,854 ,24 ,0 ,0 ,5 
2021-01-30,½ÂÂ÷,113833 ,1980 ,3082 ,4873 ,6299 ,6276 ,6513 ,7471 ,8315 ,8476 ,8225 ,8503 ,9018 ,8833 ,6615 ,4707 ,5649 ,6041 ,1957 ,775 ,200 ,8 ,1 ,0 ,16 
2021-01-30,ÇÏÂ÷,112469 ,566 ,2727 ,3743 ,5337 ,5712 ,5707 ,6387 ,7414 ,7915 ,8251 ,8041 ,8625 ,8922 ,8042 ,5812 ,5081 ,7324 ,4340 ,1806 ,700 ,8 ,2 ,0 ,7 
2021-01-31,½ÂÂ÷,83310 ,1136 ,1700 ,2426 ,3686 ,4662 ,4643 ,5287 ,6072 ,6363 ,6558 ,6736 ,6694 ,6227 ,5273 ,4107 ,4632 ,4701 ,1632 ,593 ,167 ,7 ,3 ,0 ,5 
2021-01-31,ÇÏÂ÷,82679 ,345 ,1422 ,1717 ,2804 ,4167 ,4545 ,4601 ,5319 ,5975 ,6546 ,6290 ,6640 ,6359 ,5857 ,4800 ,4305 ,5715 ,3301 ,1449 ,486 ,25 ,7 ,0 ,4 
2021-02-01,½ÂÂ÷,165032 ,3284 ,8149 ,20312 ,18583 ,8314 ,6210 ,6489 ,6921 ,7299 ,7178 ,7927 ,8509 ,13836 ,17617 ,7840 ,7463 ,6281 ,1947 ,649 ,198 ,12 ,2 ,0 ,12 
2021-02-01,ÇÏÂ÷,163040 ,914 ,4593 ,11495 ,20205 ,8907 ,5790 ,5776 ,6340 ,6983 ,6937 ,7553 ,7870 ,11184 ,19442 ,14698 ,8671 ,8856 ,4466 ,1726 ,604 ,22 ,7 ,0 ,1 
2021-02-02,½ÂÂ÷,164388 ,3136 ,7919 ,20090 ,18992 ,8283 ,6024 ,6280 ,6664 ,6886 ,6922 ,7690 ,8710 ,13784 ,17404 ,7760 ,7935 ,7032 ,1979 ,654 ,213 ,9 ,1 ,0 ,21 
2021-02-02,ÇÏÂ÷,162095 ,843 ,4470 ,11538 ,20422 ,8970 ,5406 ,5787 ,5919 ,6611 ,6637 ,7195 ,7971 ,10985 ,19453 ,14399 ,8837 ,9454 ,4779 ,1769 ,624 ,13 ,0 ,0 ,13 
2021-02-03,½ÂÂ÷,173034 ,3166 ,8052 ,20479 ,19097 ,8557 ,6145 ,6517 ,6980 ,7471 ,7146 ,8213 ,9382 ,15869 ,18796 ,7696 ,7814 ,8200 ,2355 ,843 ,238 ,7 ,3 ,0 ,8 
2021-02-03,ÇÏÂ÷,171267 ,865 ,4587 ,11675 ,20751 ,9117 ,5747 ,5904 ,6272 ,7119 ,6933 ,7668 ,8542 ,12201 ,21164 ,15031 ,8811 ,10161 ,5745 ,2192 ,765 ,13 ,2 ,0 ,2 
2021-02-04,½ÂÂ÷,175493 ,3421 ,8930 ,22533 ,20989 ,8999 ,6234 ,6340 ,6787 ,7047 ,7034 ,7935 ,9294 ,14599 ,18534 ,8095 ,8093 ,7378 ,2184 ,807 ,227 ,10 ,2 ,0 ,21 
2021-02-04,ÇÏÂ÷,173375 ,922 ,5056 ,13393 ,23318 ,9722 ,5823 ,5761 ,6165 ,6891 ,6959 ,7309 ,8277 ,11527 ,20262 ,14974 ,9125 ,9850 ,5240 ,2038 ,726 ,15 ,3 ,0 ,19 
2021-02-05,½ÂÂ÷,174107 ,3077 ,7716 ,19720 ,18989 ,8636 ,6583 ,6883 ,7544 ,7663 ,7709 ,8764 ,10019 ,15033 ,18746 ,7976 ,7616 ,7685 ,2427 ,1024 ,279 ,6 ,1 ,0 ,11 
2021-02-05,ÇÏÂ÷,172283 ,821 ,4570 ,11197 ,20539 ,9211 ,5918 ,6308 ,6723 ,7315 ,7599 ,8097 ,8949 ,12209 ,20485 ,14802 ,8871 ,9778 ,5637 ,2281 ,934 ,32 ,3 ,0 ,4 
2021-02-06,½ÂÂ÷,119427 ,2102 ,3144 ,5303 ,6921 ,6876 ,6881 ,8359 ,8957 ,9006 ,8485 ,8822 ,9354 ,8827 ,6898 ,4672 ,5591 ,6210 ,1976 ,811 ,219 ,4 ,0 ,0 ,9 
2021-02-06,ÇÏÂ÷,118244 ,627 ,2759 ,4115 ,5779 ,6298 ,6162 ,7001 ,8185 ,8373 ,8723 ,8311 ,8994 ,9114 ,8150 ,5981 ,5186 ,7334 ,4488 ,1920 ,734 ,9 ,0 ,0 ,1 
2021-02-07,½ÂÂ÷,86740 ,1195 ,1779 ,2607 ,4016 ,4806 ,4723 ,5370 ,6590 ,6465 ,6673 ,6911 ,7174 ,6401 ,5719 ,4301 ,5028 ,4831 ,1474 ,514 ,138 ,16 ,1 ,0 ,8 
2021-02-07,ÇÏÂ÷,86011 ,397 ,1523 ,1897 ,2954 ,4343 ,4534 ,4619 ,5719 ,6316 ,6633 ,6619 ,6931 ,6670 ,6180 ,4968 ,4680 ,5943 ,3299 ,1280 ,472 ,28 ,3 ,0 ,3 
2021-02-08,½ÂÂ÷,169463 ,3283 ,8135 ,20149 ,18405 ,8639 ,6558 ,7124 ,7291 ,7535 ,7455 ,8218 ,9071 ,13799 ,17695 ,8094 ,7953 ,6889 ,2150 ,748 ,254 ,9 ,0 ,0 ,9 
2021-02-08,ÇÏÂ÷,167007 ,893 ,4579 ,11570 ,19833 ,9017 ,6083 ,6444 ,6800 ,7135 ,7264 ,7865 ,8348 ,11036 ,19427 ,14784 ,9031 ,9510 ,4799 ,1849 ,699 ,36 ,2 ,0 ,3 
2021-02-09,½ÂÂ÷,171711 ,3050 ,7761 ,19865 ,18843 ,8649 ,6421 ,7072 ,7425 ,7668 ,7630 ,8661 ,9555 ,13950 ,17823 ,8115 ,8043 ,7746 ,2338 ,840 ,237 ,3 ,2 ,0 ,14 
2021-02-09,ÇÏÂ÷,169650 ,832 ,4428 ,11356 ,20156 ,9158 ,6014 ,6347 ,6523 ,7320 ,7369 ,8227 ,8789 ,11451 ,19636 ,14574 ,9039 ,10024 ,5546 ,2043 ,794 ,18 ,1 ,0 ,5 
2021-02-10,½ÂÂ÷,171021 ,2747 ,7005 ,17990 ,17499 ,8553 ,6618 ,7506 ,8320 ,8493 ,9321 ,10920 ,12375 ,15355 ,14389 ,7113 ,6529 ,7014 ,2184 ,830 ,232 ,5 ,2 ,0 ,21 
2021-02-10,ÇÏÂ÷,169945 ,762 ,3933 ,10196 ,18599 ,8871 ,6076 ,6564 ,7389 ,8414 ,9150 ,10067 ,12304 ,14715 ,17864 ,11513 ,7034 ,8615 ,4956 ,2059 ,832 ,18 ,1 ,0 ,13 
2021-02-11,½ÂÂ÷,77970 ,1126 ,1792 ,2449 ,3352 ,3932 ,4378 ,5320 ,5654 ,5809 ,6223 ,6305 ,6434 ,6083 ,4900 ,3640 ,3822 ,4493 ,1524 ,554 ,159 ,13 ,0 ,0 ,8 
2021-02-11,ÇÏÂ÷,78399 ,378 ,1484 ,1899 ,2753 ,3613 ,3826 ,4701 ,5447 ,5449 ,6208 ,6044 ,6479 ,6500 ,5705 ,4317 ,3556 ,5136 ,3007 ,1304 ,566 ,21 ,1 ,0 ,5 
2021-02-12,½ÂÂ÷,56182 ,804 ,1216 ,1744 ,1969 ,2117 ,2675 ,3455 ,3795 ,4059 ,4501 ,4704 ,5099 ,4647 ,3721 ,2795 ,3042 ,3749 ,1364 ,517 ,191 ,4 ,0 ,0 ,14 
2021-02-12,ÇÏÂ÷,55691 ,265 ,905 ,1255 ,1877 ,1934 ,2217 ,2966 ,3516 ,3911 ,4334 ,4360 ,4944 ,4837 ,4264 ,3217 ,2766 ,4005 ,2460 ,1091 ,533 ,24 ,1 ,0 ,9 
2021-02-13,½ÂÂ÷,93824 ,952 ,1369 ,2012 ,3022 ,4026 ,4615 ,5944 ,6863 ,7445 ,7674 ,8266 ,8313 ,7412 ,5983 ,4803 ,5506 ,6694 ,1972 ,715 ,231 ,0 ,0 ,0 ,7 
2021-02-13,ÇÏÂ÷,91769 ,314 ,1130 ,1426 ,2297 ,3576 ,3874 ,5057 ,6167 ,6535 ,7453 ,7577 ,8054 ,7749 ,6729 ,5120 ,4904 ,7177 ,4152 ,1781 ,692 ,1 ,0 ,0 ,4 
2021-02-14,½ÂÂ÷,85546 ,960 ,1477 ,2113 ,3270 ,4206 ,4492 ,5371 ,6591 ,6919 ,6976 ,7007 ,7001 ,6460 ,5471 ,4422 ,5174 ,5056 ,1710 ,650 ,181 ,22 ,1 ,0 ,16 
2021-02-14,ÇÏÂ÷,83985 ,289 ,1190 ,1503 ,2447 ,3697 ,4202 ,4494 ,5760 ,6326 ,6829 ,6808 ,7025 ,6579 ,5949 ,5064 ,4431 ,5855 ,3377 ,1503 ,596 ,48 ,3 ,0 ,10 
2021-02-15,½ÂÂ÷,166099 ,3124 ,7707 ,19388 ,17936 ,8369 ,6353 ,6746 ,7190 ,7709 ,7661 ,8366 ,9154 ,14001 ,17831 ,7846 ,6412 ,5547 ,3525 ,991 ,232 ,3 ,0 ,0 ,8 
2021-02-15,ÇÏÂ÷,164030 ,874 ,4306 ,10682 ,19388 ,8813 ,5704 ,6110 ,6695 ,7414 ,7473 ,7825 ,8368 ,11281 ,19437 ,15084 ,8428 ,6968 ,5751 ,2615 ,799 ,11 ,0 ,0 ,4 
2021-02-16,½ÂÂ÷,169762 ,3151 ,7942 ,20540 ,18923 ,8340 ,6248 ,6788 ,7196 ,7426 ,6978 ,7960 ,8961 ,14395 ,18657 ,8051 ,6988 ,5843 ,4019 ,1068 ,267 ,11 ,1 ,0 ,9 
2021-02-16,ÇÏÂ÷,167706 ,838 ,4479 ,11590 ,20619 ,9102 ,5696 ,6051 ,6499 ,7204 ,7028 ,7263 ,8252 ,11489 ,20044 ,15443 ,8668 ,7209 ,6396 ,2934 ,879 ,22 ,0 ,0 ,1 
2021-02-17,½ÂÂ÷,166610 ,3092 ,7973 ,20404 ,18886 ,8467 ,5996 ,6377 ,6925 ,6843 ,6883 ,7777 ,8952 ,15095 ,18380 ,7670 ,6239 ,5399 ,3892 ,1063 ,276 ,3 ,0 ,0 ,18 
2021-02-17,ÇÏÂ÷,164275 ,853 ,4526 ,11476 ,20457 ,9109 ,5531 ,5677 ,6136 ,6817 ,6628 ,7306 ,8084 ,11583 ,20398 ,14656 ,8288 ,6812 ,6194 ,2794 ,916 ,28 ,2 ,0 ,4 
2021-02-18,½ÂÂ÷,167305 ,3137 ,7848 ,20205 ,18637 ,8312 ,6032 ,6481 ,6905 ,7280 ,7196 ,8012 ,8759 ,14325 ,17562 ,7869 ,6984 ,6127 ,4182 ,1158 ,273 ,9 ,0 ,0 ,12 
2021-02-18,ÇÏÂ÷,165158 ,850 ,4521 ,11375 ,20359 ,8931 ,5404 ,5674 ,6158 ,7110 ,6875 ,7480 ,8102 ,11238 ,19647 ,14431 ,8630 ,7584 ,6816 ,3006 ,947 ,18 ,0 ,0 ,2 
2021-02-19,½ÂÂ÷,180348 ,3136 ,7715 ,19579 ,18746 ,8960 ,6862 ,7231 ,7779 ,8330 ,8365 ,9343 ,10384 ,15661 ,19515 ,8488 ,7088 ,6273 ,5046 ,1462 ,358 ,13 ,5 ,0 ,9 
2021-02-19,ÇÏÂ÷,178132 ,869 ,4489 ,11264 ,19930 ,9545 ,6277 ,6557 ,7057 ,7812 ,8054 ,8513 ,9480 ,12631 ,21093 ,15534 ,8618 ,7698 ,7589 ,3865 ,1219 ,31 ,3 ,0 ,4 
